zip_code,NAME
30339,COBB
30317,DEKALB
30319,DEKALB
30329,DEKALB
30338,DEKALB
30340,DEKALB
30341,DEKALB
30345,DEKALB
30346,DEKALB
30360,DEKALB
30303,FULTON
30305,FULTON
30306,FULTON
30307,FULTON
30309,FULTON
30310,FULTON
30311,FULTON
30312,FULTON
30313,FULTON
30314,FULTON
30315,FULTON
30316,FULTON
30318,FULTON
30324,FULTON
30326,FULTON
30327,FULTON
30328,FULTON
30337,FULTON
30342,FULTON
30344,FULTON
30354,FULTON
30363,FULTON
30002,DEKALB
30030,DEKALB
30032,DEKALB
30033,DEKALB
30067,COBB
30079,DEKALB
30080,COBB
30084,DEKALB
